Nombre de la Institución Educativa|Provincia|Cantón|Sostenimiento|Jornada|Número de estudiantes|Número de docentes
DR. FRANCISCO COSTA MALDONADO|LOJA|LOJA|Fiscal|Matutina|11|1
DR. REINALDO ESPINOZA AGUILAR|LOJA|LOJA|Fiscal|Matutina|264|17
CENTRO EDUCATIVO PARTICULAR BILINGUE SAN ANDRES (PRIMARIO)|LOJA|LOJA|Particular|Matutina|115|13
MUNICIPAL ECOLOGICA|LOJA|LOJA|Municipal|Matutina|129|14
DOROTEA CARRION|LOJA|LOJA|Fiscal|Matutina|77|8
MATER DEI000|LOJA|LOJA|Fiscomisional|Matutina|915|33
LICEO AMERICANO|LOJA|LOJA|Particular|Matutina|130|15
ROSA ELENA EGUIGUREN|LOJA|LOJA|Fiscal|Matutina|7|1
CARLOS BURNEO ARIAS|LOJA|LOJA|Fiscal|Matutina|64|4
EDISON CALLE LOAIZA|LOJA|LOJA|Fiscal|Matutina|234|11
U.E MUNICIPAL HEROES DEL CENEPA|LOJA|LOJA|Municipal|Matutina|301|15
LUIS HUMBERTO BENITEZ COSTA|LOJA|LOJA|Fiscal|Matutina|149|10
ALFONSO AULESTIA BRAVO|LOJA|LOJA|Fiscal|Matutina|29|3
TECNICO FISCAL MIXTO 27 DE FEBRERO|LOJA|LOJA|Fiscal|Matutina|1188|67
MERCEDES DE JESUS MOLINA Y AYALA|LOJA|LOJA|Fiscomisional|Vespertina|105|5
CONSERVATORIO SUPERIOR SALVADOR BUSTAMANTE CELI|LOJA|LOJA|Fiscal|Vespertina|0|60
DON BOSCO|LOJA|LOJA|Municipal|Matutina y Vespertina|0|1
HUMANITOS|LOJA|LOJA|Particular|Matutina|17|5
CORDILLERA|LOJA|LOJA|Particular|Matutina|295|29
UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION RENACIMIENTO|LOJA|LOJA|Fiscomisional|Matutina|83|26
FAUSTO MOLINA|LOJA|LOJA|Fiscal|Matutina|8|1
MIGUEL ANGEL SUAREZ ROJAS|LOJA|LOJA|Particular|Matutina|205|16
ADOLFO JURADO GONZALEZ|LOJA|LOJA|Fiscal|Vespertina|47|6
ANGEL MODESTO VALLEJO VIVANCO|LOJA|LOJA|Fiscal|Matutina|39|3
AGUSTIN ALFONSO PALACIO PALACIO|LOJA|LOJA|Fiscal|Matutina|46|4
UNIDAD INFANTIL Y ORFANATO MUNICIPAL N1|LOJA|LOJA|Municipal|Matutina|62|12
TENIENTE HUGO ORTIZ N2|LOJA|LOJA|Fiscal|Vespertina|130|10
UNIDAD EDUC FISCOMISIONAL A DISTACIA JOSE MARIA VELAZ SJ EXT 1LOJA|LOJA|LOJA|Fiscomisional|Vespertina|139|7
BENIGNO BAYANCELA|LOJA|LOJA|Fiscal|Matutina|285|16
UNIDAD EDUCATIVA CALASANZ|LOJA|LOJA|Fiscomisional|Matutina y Nocturna|2153|82
INSTITUTO TECNOLOGICO SUPERIOR DANIEL ALVAREZ BURNEO|LOJA|LOJA|Fiscomisional|Matutina y Nocturna|3059|170
SIGLO XXI|LOJA|LOJA|Particular|Matutina|183|16
EL TESORO DEL SABER|LOJA|LOJA|Particular|Matutina|148|11
CENTRO ARTESANAL TNTE. HUGO ORTIZ|LOJA|LOJA|Fiscal|Nocturna|135|8
TENIENTE HUGO ORTIZ N1|LOJA|LOJA|Fiscal|Matutina|347|20
CENTRO EDUCATIVO CARPE DIEM|LOJA|LOJA|Particular|Matutina|106|18
CENTRO ARTESANAL DOROTEA CARRION|LOJA|LOJA|Fiscal|Matutina|75|9
DR  JOSE MIGUEL CARRION  MORA|LOJA|LOJA|Fiscal|Matutina|24|2
UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT HNO ANGEL PASTRANA|LOJA|LOJA|Fiscomisional|Matutina|1070|42
ANTONIO PENA CELI|LOJA|LOJA|Particular|Matutina|688|38
CENTRO EDUCATIVO INTERANDINO|LOJA|LOJA|Particular|Matutina|163|18
CENTRO DE FORMACION ARTESANAL RAMONA CABRERA|LOJA|LOJA|Fiscal|Matutina|107|11
UNIDAD EDUCATIVA SANTA MARIANA DE JESUS|LOJA|LOJA|Particular|Matutina|1223|59
ESC. ADOLFO JURADO GONZALEZ|LOJA|LOJA|Fiscal|Matutina y Vespertina|459|24
JUAN PABLO II|LOJA|LOJA|Particular|Matutina|84|13
RAINBOW PLAY SCHOOL|LOJA|LOJA|Particular|Matutina|100|6
CENTRO EDUCATIVO PARTICULAR BILINGUE BETEL|LOJA|LOJA|Particular|Matutina|155|16
COLEGIO PARTICULAR ISIDRO AYORA|LOJA|LOJA|Particular|Vespertina|375|10
COLEGIO PARTICULA R JUAN MONTALVO|LOJA|LOJA|Particular|Matutina|245|22
MIGUEL RIOFRIO  N 1|LOJA|LOJA|Fiscal|Matutina|1112|44
UNIDAD EDUCATIVA ATENEO|LOJA|LOJA|Particular|Matutina|309|27
MONS. FRANCISCO VALDIVIEZO ALVARADO|LOJA|LOJA|Fiscal|Vespertina|196|14
SAN JUAN BAUTISTA DE LA SALLE|LOJA|LOJA|Fiscomisional|Vespertina|234|17
UNIDAD EDUCATIVA FISCOMISIONAL  VICENTE ANDA AGUIRRE|LOJA|LOJA|Fiscomisional|Matutina y Nocturna|1706|110
UNIDAD EDUCATIVA PARTICULAR LA INMACULADA|LOJA|LOJA|Particular|Matutina|1495|76
JOSE ANTONIO EGUIGUREN  LA SALLE|LOJA|LOJA|Particular|Matutina|1215|60
UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS|LOJA|LOJA|Fiscomisional|Matutina|1423|62
UNIDAD EDUCATIVA LA PORCIUNCULA|LOJA|LOJA|Particular|Matutina|986|45
MIGUEL ANGEL SUAREZ ROJAS|LOJA|LOJA|Particular|Matutina|368|23
ESCUELA 18 DE NOVIEMBRE|LOJA|LOJA|Fiscal|Matutina|486|22
CENTRO DE DESARROLLO INTEGRAL PUNTO DE PARTIDA|LOJA|LOJA|Particular|Matutina|226|25
MIGUEL RIOFRIO N° 2|LOJA|LOJA|Fiscal|Vespertina|521|28
ESCUELA PARTICULAR VESPERTINA CONFESIONAL LA DOLOROSA|LOJA|LOJA|Particular|Vespertina|263|24
INSTITUTO ESPECIAL FISCAL PARA CIEGOS BYRON EGUIGUREN|LOJA|LOJA|Fiscal|Matutina y Vespertina|34|12
COLEGIO DE BACHILLERATO BEATRIZ CUEVA DE AYORA|LOJA|LOJA|Fiscal|Matutina|2003|129
LAS ABEJITAS|LOJA|LOJA|Particular|Matutina|27|8
CADE|LOJA|LOJA|Particular|Matutina|45|20
COLEGIO DR. ANTONIO PEñA CELI|LOJA|LOJA|Particular|Matutina|298|25
ROSA JOSEFINA BURNEO DE BURNEO|LOJA|LOJA|Fiscal|Matutina|280|17
MONTSERRAT|LOJA|LOJA|Particular|Matutina|19|2
CENTRO DE PRIMARIA POPULAR BRIGADA DE INFANTERIA N 7|LOJA|LOJA|Fiscal|Nocturna|13|1
LAS ARDILLITAS|LOJA|LOJA|Fiscal|Matutina|60|2
LUIS ANTONIO ENRIQUE ORTEGA|LOJA|LOJA|Fiscal|Matutina|376|18
VICENTE BASTIDAS REINOSO|LOJA|LOJA|Fiscal|Matutina|317|19
25 DE DICIEMBRE|LOJA|LOJA|Fiscal|Matutina|187|10
ISIDRO AYORA PRESIDENTE|LOJA|LOJA|Fiscal|Nocturna|156|9
MANUEL IGNACIO MONTERO VALDIVIESO|LOJA|LOJA|Fiscal|Matutina y Nocturna|189|12
HERNAN GALLARDO MOSCOSO|LOJA|LOJA|Fiscal|Matutina|179|9
PARAISO INFANTIL|LOJA|LOJA|Fiscal|Matutina|43|3
PEDRO DE CIANCA|LOJA|LOJA|Fiscal|Matutina|23|2
BURBUJITAS DE SABIDURIA|LOJA|LOJA|Particular|Matutina|31|5
FILOMENA ROJAS|LOJA|LOJA|Fiscal|Matutina|234|12
ZOILA MARIA ASTUDILLO CELI|LOJA|LOJA|Fiscal|Vespertina|165|11
JOSE ALEJANDRINO VELASCO|LOJA|LOJA|Fiscal|Matutina|393|19
FILOMENA MORA DE CARRION|LOJA|LOJA|Fiscal|Matutina|359|22
UNIDAD EDUCATIVA MUNICIPAL DR ANGEL FELICISIMO ROJAS|LOJA|LOJA|Municipal|Matutina|163|14
UNIDAD EDUCATIVA MUNICIPAL MONSEÑOR JORGE GUILLERMO ARMIJOS|LOJA|LOJA|Municipal|Matutina|172|11
CIUDAD DE LOJA|LOJA|LOJA|Fiscal|Matutina|694|32
JULIO ORDOÑEZ ESPINOSA|LOJA|LOJA|Fiscal|Matutina|869|37
JOSE ANGEL PALACIO|LOJA|LOJA|Fiscal|Vespertina|270|19
ORIENTE ECUATORIANO|LOJA|LOJA|Fiscal|Nocturna|14|1
COLEGIO FISCAL MIXTO MANUEL ENRIQUE RENGEL|LOJA|LOJA|Fiscal|Nocturna|287|23
ROSA GRIMANESA ORTEGA|LOJA|LOJA|Fiscal|Vespertina|111|11
JOSE MIGUEL GARCIA MORENO|LOJA|LOJA|Fiscal|Matutina|167|9
INTERNATIONAL SCHOOL HIJOS DEL REY|LOJA|LOJA|Particular|Matutina|63|7
COLEGIO NACIONAL ADOLFO VALAREZO|LOJA|LOJA|Fiscal|Matutina|1024|55
CENTRO DE REHABILITACION DE MENORES|LOJA|LOJA|Fiscal|Matutina|0|4
CENTRO EDUCATIVO PARTICULAR BILINGUE DIRIGENTES DEL FUTURO|LOJA|LOJA|Particular|Matutina|112|11
PARTICULAR A DISTANCIA AMAZONAS|LOJA|LOJA|Particular|Matutina, Vesperina y Nocturna|327|16
LAURO DAMERVAL AYORA Nº2|LOJA|LOJA|Fiscal|Vespertina|122|9
INSTITUTO PARTICULAR DE EDUCACION BASICA SIMON BOLIVAR|LOJA|LOJA|Particular|Matutina|196|21
RAMON SEBASTIAN VALDIVIEZO|LOJA|LOJA|Fiscal|Matutina|37|3
REPUBLICA DE CUBA|LOJA|LOJA|Fiscal|Matutina|46|3
DANIEL RODAS BUSTAMANTE|LOJA|LOJA|Fiscal|Matutina|422|24
DRA  MATILDE HIDALGO DE PROCEL N1|LOJA|LOJA|Fiscal|Matutina|448|21
GRACIELA FELIPA ATARIHUANA|LOJA|LOJA|Fiscal|Matutina|317|17
UNIDAD EDUCATIVA MUNICIPAL TIERRAS COLORADAS|LOJA|LOJA|Municipal|Matutina|223|15
U.E MUNICIPAL BORJA|LOJA|LOJA|Municipal|Matutina y Vespertina|120|12
MATILDE HIDALGO DE PROCEL NRO 2|LOJA|LOJA|Fiscal|Vespertina|125|13
ANDRES MACHADO MONTERO|LOJA|LOJA|Fiscal|Matutina|102|5
CAPULÍ LOMA|LOJA|LOJA|Municipal|Matutina|124|10
MONS.JUAN MARIA RIOFRIO|LOJA|LOJA|Fiscal|Matutina|308|17
JOSE MIGUEL BURNEO BURNEO|LOJA|LOJA|Fiscal|Matutina|314|17
LUZ HORTENSIA RUIZ CENTRO ARTESANAL|LOJA|LOJA|Fiscal|Nocturna|131|10
CENTRO EDUCATIVO IV CENTENARIO 2|LOJA|LOJA|Fiscal|Vespertina|260|19
CENTRO EDUCATIVO SAGRADO CORAZON PRIMARIA|LOJA|LOJA|Particular|Matutina|64|9
NIÑO JESUS|LOJA|LOJA|Fiscomisional|Matutina|133|7
C.E.P. TIMOTEO|LOJA|LOJA|Particular|Matutina|68|7
UNIDAD INFANTIL MUNICIPAL CENTRO COMERIAL LOJA|LOJA|LOJA|Municipal|Matutina y Vespertina|107|13
LAURO DAMERVAL AYORA 1|LOJA|LOJA|Fiscal|Matutina|917|42
INSTITUTO EDUCATIVO SAN FRANCISCO JAVIER|LOJA|LOJA|Particular|Matutina|87|11
CENTRO DE AUDICION Y LENGUAJE|LOJA|LOJA|Particular|Matutina y Vespertina|118|15
LAS TRAVESURAS DE CAMILO|LOJA|LOJA|Particular|Matutina|26|4
CUARTO  CENTENARIO  N 1|LOJA|LOJA|Fiscal|Matutina|540|28
ZOILA ALVARADO DE JARAMILLO|LOJA|LOJA|Fiscal|Matutina|596|29
FERNANDO CHAVEZ|LOJA|LOJA|Fiscal|Matutina|82|11
SIN NOMBRE|LOJA|LOJA|Fiscal|Matutina|13|1
CENTINELA DEL SUR|LOJA|LOJA|Particular|Vespertina y Nocturna|46|5
MADRE ETERNA|LOJA|LOJA|Particular|Matutina|10|2
LA FLORIDA|LOJA|LOJA|Fiscal|Matutina|15|1
RAMON BURNEO|LOJA|LOJA|Fiscal|Matutina|98|10
JOSE RAFAEL ARIZAGA VEGA|LOJA|LOJA|Fiscal|Matutina|49|5
I.E. ESPECIAL DE LOJA NO. 2|LOJA|LOJA|Fiscomisional|Matutina|48|11
DR.JORGE CASTILLO CARRION|LOJA|LOJA|Fiscal|Matutina|56|4
FEDERICO GARCIA LORCA|LOJA|LOJA|Fiscal|Matutina|20|4
DR. ANGEL RAFAEL MORALES|LOJA|LOJA|Fiscal|Matutina|43|3
ROSA SANCHEZ DE FIERRO|LOJA|LOJA|Fiscal|Matutina|31|4
CLOTILDE GUILLEN DE REZANO|LOJA|LOJA|Fiscal|Matutina|15|2
DR LUIS FELIPE ZAPATER ALVAREZ BLANCO|LOJA|LOJA|Fiscal|Matutina|208|11
24 DE MAYO|LOJA|LOJA|Fiscal|Matutina|210|13
HUGO GUILLERMO GONZALEZ|LOJA|LOJA|Fiscal|Matutina|105|3
IBEROAMERICANO SAN AGUSTIN|LOJA|LOJA|Particular|Matutina|255|25
POMPILIO REINOSO JARAMILLO|LOJA|LOJA|Fiscal|Matutina|231|16
COLEGIO PARTICULAR EUGENIO ESPEJO|LOJA|LOJA|Particular|Matutina|577|31
JULIO MARIA MATOVELLE|LOJA|LOJA|Fiscal|Matutina|451|21
MARIETA DE VEINTIMILLA|LOJA|LOJA|Fiscal|Matutina y Vespertina|685|30
UNIDAD EDUCATIVA TENIENTE CORONEL LAURO GUERRERO|LOJA|LOJA|Particular|Matutina|971|58
ALBERGUE INFANTIL PADRE JULIO VILLARROEL OCAÑA|LOJA|LOJA|Fiscal|Matutina|74|4
GUSTAVO DARQUEA TERAN|LOJA|LOJA|Fiscal|Matutina|44|6
JOSE MARIA JARAMILLO SUAREZ|LOJA|LOJA|Fiscal|Matutina|45|4
EMILIANO MORA|LOJA|LOJA|Fiscal|Matutina|29|3
EDUCARE|LOJA|LOJA|Particular|Matutina|200|19
JOSE INGENIEROS NUMERO 1|LOJA|LOJA|Fiscal|Matutina|704|29
FRANCISCO RODAS BUSTAMANTE|LOJA|LOJA|Fiscal|Matutina|0|1
MUNDO DE JUGUETE|LOJA|LOJA|Particular|Matutina|20|1
JOSE INGENIERO N 2|LOJA|LOJA|Fiscal|Vespertina|305|21
SAN PABLO|LOJA|LOJA|Particular|Matutina|37|7
CENTRO EDUCATIVO COMUNITARIO PACHAKUTIK|LOJA|LOJA|Fiscal|Vespertina|31|2
UNIDAD EDUCATIVA FERNANDO SUAREZ PALACIO|LOJA|LOJA|Fiscal|Matutina|345|25
AMARILIS FUENTES|LOJA|LOJA|Fiscal|Matutina|37|3
INTI PAKARI|LOJA|LOJA|Fiscal|Matutina|24|3
WAKA KUSKA|LOJA|LOJA|Fiscal|Matutina|22|2
BALBINA HIDALGO|LOJA|LOJA|Fiscal|Matutina|100|9
CARCHI N21|LOJA|LOJA|Fiscal|Matutina|63|4
DR MAXIMO AGUSTIN RODRIGEZ|LOJA|LOJA|Fiscal|Matutina|147|12
SANTA CATALINA|LOJA|LOJA|Fiscomisional|Matutina|264|11
MIGUEL ESPINOSA|LOJA|LOJA|Fiscal|Matutina|26|1
CAMINOS DEL SABER|LOJA|LOJA|Fiscal|Vespertina|125|5
UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT MONS LEONIDAS PROAÑO|LOJA|LOJA|Fiscomisional|Matutina|72|5
KAPAK RAYMI|LOJA|LOJA|Fiscal|Matutina|45|6
VICTOR MARCOS MEDINA|LOJA|LOJA|Fiscal|Matutina|31|3
MONSEÑOR LEONIDAS PROAÑO N 3|LOJA|LOJA|Fiscal|Matutina|35|3
LUZ COSTA ZABALETA|LOJA|LOJA|Fiscal|Matutina|30|2
MARIANA DE JESUS GUANUCHE|LOJA|LOJA|Fiscal|Matutina|19|2
ROBERTO ANDRADE|LOJA|LOJA|Fiscal|Matutina|43|5
INKA ÑAN|LOJA|LOJA|Fiscal|Matutina|34|3
AMAWTA WASI|LOJA|LOJA|Fiscal|Matutina|28|3
MONS LEONIDAS PROAÑO NO 2|LOJA|LOJA|Fiscal|Matutina|42|4
RUMIÑAHUI|LOJA|LOJA|Fiscal|Matutina|116|9
YACHAYTA MICHIK|LOJA|LOJA|Fiscal|Matutina|13|3
INKA PIRKA|LOJA|LOJA|Fiscal|Matutina|32|2
JOSEFA AMELIA ORTEGA ESPINOZA|LOJA|LOJA|Fiscal|Matutina|4|1
ATAHUALPA Nº 18|LOJA|LOJA|Fiscal|Matutina|29|4
UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXT MADRE LAURA MONTOYA|LOJA|LOJA|Fiscomisional|Matutina|97|6
UNIDAD EDUCATIVA MUSHUK RIMAK|LOJA|LOJA|Fiscal|Matutina y Nocturna|388|31
PEREZ TAGLE|LOJA|LOJA|Fiscal|Matutina|4|1
ROSA MATILDE ALVEAR|LOJA|LOJA|Fiscal|Matutina|14|1
LUIS PASTEUR|LOJA|LOJA|Fiscal|Matutina|125|10
LOPEZ DE LEON|LOJA|LOJA|Fiscal|Matutina|10|1
MAGDALENA DAVALOS|LOJA|LOJA|Fiscal|Matutina|8|2
LEOPOLDO NICOLAS CHAVEZ|LOJA|LOJA|Fiscal|Matutina|6|1
MERCEDES ALCIRA PALACIOS DE CARPIO|LOJA|LOJA|Fiscal|Matutina|4|1
ABDON CALDERON MUÑOZ|LOJA|LOJA|Fiscal|Matutina|97|8
AMAWTA KAWSAY|LOJA|LOJA|Fiscal|Matutina|8|1
ABDON CALDERON|LOJA|LOJA|Fiscal|Matutina|85|12
SR. MANUEL DE JESUS AUQUILLA CAMBISACA|LOJA|LOJA|Fiscal|Matutina|7|1
HERNANDO DE BENAVENTE|LOJA|LOJA|Fiscal|Matutina|8|1
COLEGIO NACIONAL MIXTO EL CISNE|LOJA|LOJA|Fiscal|Matutina|87|10
GASPAR GOMEZ DE SALAZAR|LOJA|LOJA|Fiscal|Matutina|33|3
COLEGIO NACIONAL AGUSTIN CURIPOMA|LOJA|LOJA|Fiscal|Matutina|63|8
PEDRO BENAVENTE|LOJA|LOJA|Fiscal|Matutina|21|2
ALVAREZ SANCHEZ COLOMBIA|LOJA|LOJA|Fiscal|Matutina|288|17
HOMERO VITERI LA FRONTE|LOJA|LOJA|Fiscal|Matutina|34|2
PRIMERO DE JUNIO|LOJA|LOJA|Fiscal|Matutina|11|1
JULIA JARAMILLO|LOJA|LOJA|Fiscal|Matutina|12|1
ALFONSO MARIA SILVA|LOJA|LOJA|Fiscal|Matutina|14|1
10 DE DICIEMBRE|LOJA|LOJA|Fiscal|Matutina|33|2
UNIDAD EDUCATIVA FISCOMISIONAL CORAZON DE MARIA|LOJA|LOJA|Fiscomisional|Matutina|151|22
ESCUELA IBARRA|LOJA|LOJA|Fiscal|Matutina|11|1
AZUAY N 12|LOJA|LOJA|Fiscal|Matutina|13|2
GONZALO PIZARRO|LOJA|LOJA|Fiscal|Matutina|74|8
VICTOR AMABLE ZHUNAULA|LOJA|LOJA|Fiscal|Matutina|8|1
CARDENAL PABLO MUÑOZ VEGA|LOJA|LOJA|Fiscal|Matutina|4|1
LEONARDO GALAN PEREZ|LOJA|LOJA|Fiscal|Matutina|8|1
GALO PLAZA LASO|LOJA|LOJA|Fiscal|Matutina|13|1
LIBERTADOR BOLIVAR|LOJA|LOJA|Fiscal|Matutina|65|8
COLEGIO PARTICULAR JOSE MARIA VIVAR CASTRO|LOJA|LOJA|Particular|Matutina|44|9
CLODOVEO CARRION|LOJA|LOJA|Fiscal|Matutina|8|1
LICEO DE LOJA|LOJA|LOJA|Particular|Matutina|482|39
ARTESANAL CECIM|LOJA|LOJA|Fiscal|Vespertina|0|1
COLEGIO PARTICULAR A DISTANCIA DR. JOSE MARIA VIVAR CASTRO|LOJA|LOJA|Particular|Matutina|91|7
TENDENCIAS INFORMATICAS|LOJA|LOJA|Particular|Matutina, Vesperina y Nocturna|0|1
CENTRO DE REHABILITACION DE ADULTOS DE LOJA|LOJA|LOJA|Fiscal|Matutina|0|2
CONSERVATORIO PARTICULAR DE ARTE ANTON BRUCKNER|LOJA|LOJA|Particular|Matutina|0|0
GOTITAS DE MIEL|LOJA|MACARA|Fiscal|Matutina y Vespertina|0|1
POPULAR|LOJA|MACARA|Fiscal|Matutina y Vespertina|0|1
MANUEL ENRIQUE RENGEL|LOJA|MACARA|Fiscal|Nocturna|122|10
LUZ BENIGNA LUZURIAGA MORALES|LOJA|MACARA|Fiscal|Matutina|14|3
JORGE SOTOMAYOR CASTRO|LOJA|MACARA|Municipal|Matutina|12|6
CENTRO DE FORMACION ARTESANAL SANTA MARIANA DE JESUS|LOJA|MACARA|Fiscomisional|Matutina|43|7
UNIDAD EDUCATIVA DEL MILENIO  5 DE JUNIO|LOJA|MACARA|Fiscal|Matutina|353|23
13 DE JUNIO|LOJA|MACARA|Fiscal|Matutina|12|1
CORONEL MIGUEL ANGEL ESTRELLA|LOJA|MACARA|Fiscal|Matutina|19|2
MANUELITA SAENZ|LOJA|MACARA|Fiscal|Matutina|22|2
DR. CARLOS ROMAN HINOSTROSA|LOJA|MACARA|Fiscal|Matutina|39|3
SANTA MARIANA DE JESUS|LOJA|MACARA|Fiscomisional|Matutina|702|35
DIEZ DE AGOSTO DE MACARA|LOJA|MACARA|Fiscal|Matutina|315|19
CARLOS FRANCO PEREZ|LOJA|MACARA|Fiscal|Matutina|7|1
RIO SANTIAGO|LOJA|MACARA|Fiscal|Matutina|16|2
CARLOS  AROSEMENA TOLA|LOJA|MACARA|Fiscal|Matutina|27|1
JUVENTINO CARRERA|LOJA|MACARA|Fiscal|Matutina|11|1
ANTONIO ANTE|LOJA|MACARA|Fiscal|Matutina|13|2
LUIS ALBERTO VALENCIA|LOJA|MACARA|Fiscal|Matutina|12|1
JUAN RAFAEL ARROBO|LOJA|MACARA|Fiscal|Matutina|26|2
LUIS FELIPE ROMAN JARAMILLO|LOJA|MACARA|Fiscal|Matutina|11|1
CARLOS VEINTIMILLA|LOJA|MACARA|Fiscal|Matutina|8|1
MANUEL ENRIQUE RENGEL|LOJA|MACARA|Fiscal|Matutina|140|16
IGNACIO ADOLFO GRANDA VALAREZO|LOJA|MACARA|Fiscal|Matutina|7|1
UNIDAD EDUCATIVA FISCOMISIONAL MARISTA|LOJA|MACARA|Fiscomisional|Matutina|1173|62
CIUDAD DE CUENCA|LOJA|MACARA|Fiscal|Matutina|211|17
JARDIN DE INFANTES GEOFRE LUZURIAGA|LOJA|MACARA|Fiscal|Matutina|36|2
NUEVO AMANECER|LOJA|MACARA|Fiscal|Nocturna|0|2
NUEVO AMANECER|LOJA|MACARA|Fiscal|Vespertina|0|1
VICENTE RAMON ROCA|LOJA|MACARA|Fiscal|Matutina|4|1
MANUEL DARIO SUQUILANDA ARIAS|LOJA|MACARA|Fiscal|Matutina|6|1
MAXIMILIANO ROMAN|LOJA|MACARA|Fiscal|Matutina|4|1
CARLOS GUERRA BOADA|LOJA|MACARA|Fiscal|Matutina|11|1
EMILIO BUSTAMANTE MORA|LOJA|MACARA|Fiscal|Matutina|7|1
JOHN F. KENNEDY|LOJA|MACARA|Fiscal|Matutina|295|23
SALVADOR BUSTAMANTE CELI|LOJA|MACARA|Fiscal|Matutina|21|2
JUVENAL JARAMILLO|LOJA|MACARA|Fiscal|Matutina|2|1
SEGUNDO ABELARDO ACARO|LOJA|MACARA|Fiscal|Matutina|14|1
CARLOS MARX|LOJA|MACARA|Fiscal|Matutina|16|1
ROSARIO LUCRECIA APOLO LARREATEGUI|LOJA|MACARA|Fiscal|Matutina|9|1
UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXT PROYECCION AL FUTURO|LOJA|MACARA|Fiscomisional|Matutina|144|7
CENTRO ARTESANAL JUAN RAFAEL ARROBO|LOJA|MACARA|Fiscal|Nocturna|244|12
MACARA|LOJA|MACARA|Fiscal|Matutina y Nocturna|1056|59
LUZ BENIGNA CALLE|LOJA|MACARA|Fiscal|Matutina|4|1
RAFAEL CELI|LOJA|MACARA|Fiscal|Matutina|4|1
MANUEL BENIGNO CUEVA|LOJA|MACARA|Fiscal|Matutina|6|1
SIMON RODRIGUEZ|LOJA|MACARA|Fiscal|Matutina|43|10
COLEGIO TECNICO AGROPECUARIO JORGE SANCHEZ MORENO|LOJA|MACARA|Fiscal|Matutina|41|10
NUEVO PORVENIR|LOJA|MACARA|Fiscal|Vespertina|0|0
CELIA VICTORIA ORTEGA|LOJA|MACARA|Fiscal|Matutina|2|1
FRANCISCO GRANDA CORDOVA|LOJA|MACARA|Fiscal|Matutina|18|1
TORIBIO MORA|LOJA|MACARA|Fiscal|Matutina|53|6
LUIS ALFREDO BUSTAMANTE|LOJA|MACARA|Fiscal|Matutina|14|1
BASE  SUR|LOJA|MACARA|Fiscal|Matutina|10|1
HEROES DE TIWINTZA|LOJA|MACARA|Fiscal|Matutina|2|1
ANGELA PETRONILA CELI|LOJA|MACARA|Fiscal|Matutina|33|3
RAMON ZÚÑIGA|LOJA|MACARA|Fiscal|Matutina|9|1
DR. GUSTAVO ORTIZ ORELLANA|LOJA|MACARA|Fiscal|Matutina|19|1
CARLOS GUEVARA MORENO|LOJA|MACARA|Fiscal|Matutina|8|2
ROSA HONORINA HIDALGO SOTOMAYOR DE RODRIGUEZ|LOJA|MACARA|Fiscal|Matutina|26|2
DR. DARIO EGUIGUREN|LOJA|MACARA|Fiscal|Matutina|6|1
ALFREDO OSPINA|LOJA|MACARA|Fiscal|Matutina|10|2
JOSE MARÍA ESPINOZA|LOJA|MACARA|Fiscal|Matutina|7|1
COLEGIO TECNICO AGROPECUARIO LA VICTORIA|LOJA|MACARA|Fiscal|Matutina|83|11
GOTITAS DEL SABER|LOJA|MACARA|Fiscal|Vespertina y Nocturna|0|0
NUEVA ESPERANZA|LOJA|MACARA|Fiscal|Vespertina|0|1
JUAN JOSE FLORES|LOJA|MACARA|Fiscal|Matutina|18|1
ROLANDO VELEZ RIVERA|LOJA|MACARA|Fiscal|Matutina|3|1
BARTOLOME DE LAS CASAS|LOJA|MACARA|Fiscal|Matutina|41|4
ESCUELA CIUDAD DE MACARA MIXTA|LOJA|MACARA|Fiscal|Matutina|13|2
PAUL RIVETT|LOJA|MACARA|Fiscal|Matutina|8|1
HERMINIA JARAMILLO VACA|LOJA|MACARA|Fiscal|Matutina|14|1
25 DE JULIO|LOJA|MACARA|Fiscal|Matutina|20|3
SEGUNDO NICANOR CASTILLO|LOJA|MACARA|Fiscal|Matutina|21|2
LIC. ANGEL BENIGNO CARRION|LOJA|MACARA|Fiscal|Matutina|52|3
CAMILO GALLEGOS DOMINGUEZ|LOJA|MACARA|Fiscal|Matutina|38|7
CENTRO DE FORMACION ARTESANAL OLMEDO|LOJA|OLMEDO|Fiscal|Matutina|53|4
ROSA AMALIA PALADINES|LOJA|OLMEDO|Fiscal|Matutina|9|1
AMERICO VESPUCIO|LOJA|OLMEDO|Fiscal|Matutina|6|1
UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT LIC PATRICIO CARVAJAL|LOJA|OLMEDO|Fiscomisional|Matutina|50|7
DR RAFAEL SEVILLA|LOJA|OLMEDO|Fiscal|Matutina|5|1
COLEGIO NACIONAL LA TINGUE|LOJA|OLMEDO|Fiscal|Matutina|80|10
DR  MANUEL VARGAS CALLE|LOJA|OLMEDO|Fiscal|Matutina|21|4
